Year,Region,harvested_area_ha
2000,Philippines,6548427
2001,Philippines,6552029
2002,Philippines,6441774
2003,Philippines,6416249
2004,Philippines,6653780
2005,Philippines,6512209
2006,Philippines,6730603
2007,Philippines,6921206
2008,Philippines,7120998
2009,Philippines,7216200
2010,Philippines,6853201
2011,Philippines,7081254
2012,Philippines,7283984.76
2013,Philippines,7309809.67
2014,Philippines,7351103.96
2015,Philippines,7218161.39
2016,Philippines,7040344.09
2017,Philippines,7364400.02
2018,Philippines,7311842.36
2019,Philippines,7168212.63
2020,Philippines,7272676.64
2000,NCR,0
2001,NCR,0
2002,NCR,0
2003,NCR,0
2004,NCR,0
2005,NCR,0
2006,NCR,0
2007,NCR,0
2008,NCR,0
2009,NCR,0
2010,NCR,0
2011,NCR,0
2012,NCR,0
2013,NCR,0
2014,NCR,0
2015,NCR,0
2016,NCR,0
2017,NCR,0
2018,NCR,0
2019,NCR,0
2020,NCR,0
2000,CAR,112421
2001,CAR,131075
2002,CAR,129185
2003,CAR,125642
2004,CAR,135132
2005,CAR,141385
2006,CAR,148859
2007,CAR,168222
2008,CAR,172514
2009,CAR,174580
2010,CAR,166048
2011,CAR,174830
2012,CAR,177390
2013,CAR,181558
2014,CAR,183308.4
2015,CAR,175893
2016,CAR,171685
2017,CAR,176946
2018,CAR,169792
2019,CAR,172190.98
2020,CAR,165783.19
2000,I - Ilocos Region,403707
2001,I - Ilocos Region,404381
2002,I - Ilocos Region,406997
2003,I - Ilocos Region,408197
2004,I - Ilocos Region,419350
2005,I - Ilocos Region,429453
2006,I - Ilocos Region,445106
2007,I - Ilocos Region,449476
2008,I - Ilocos Region,463223
2009,I - Ilocos Region,462492
2010,I - Ilocos Region,469452
2011,I - Ilocos Region,469600
2012,I - Ilocos Region,485962
2013,I - Ilocos Region,490919
2014,I - Ilocos Region,500182
2015,I - Ilocos Region,500544
2016,I - Ilocos Region,502404
2017,I - Ilocos Region,506688
2018,I - Ilocos Region,501068.39
2019,I - Ilocos Region,503802.34
2020,I - Ilocos Region,502867.96
2000,II - Cagayan Valley,787479
2001,II - Cagayan Valley,792314
2002,II - Cagayan Valley,734476
2003,II - Cagayan Valley,697521
2004,II - Cagayan Valley,805006
