Region,Driver,Coefficient,P-value
Philippines,const,17970349.79933732,8.921785536028593e-11
Philippines,Agriculture,0.21259131399376513,0.07188395598674377
Philippines,Logging,0.08867602202507671,0.4036200546434967
Philippines,Urbanization,-99728.17069876209,5.1574732541582275e-05
Philippines,Roads_km,78.84352118985855,0.1640801303571056
NCR,Agriculture,0.0,
NCR,Logging,1.3967753063387133e-12,6.049640980681516e-28
NCR,Urbanization,34.38068422543829,6.048608395265687e-28
NCR,Roads_km,-0.015535044254385141,5.304979317772325e-12
CAR,const,1287037.5577075828,7.410933013958842e-08
CAR,Agriculture,0.6025402541325919,0.007995927447416583
CAR,Logging,0.15897250018789494,0.5319324500417921
CAR,Urbanization,-3073.814176117941,0.011815193903230194
CAR,Roads_km,-1.1356798678539837,0.8035973669275923
I - Ilocos Region,const,553601.3476689802,1.2744677784650134e-26
I - Ilocos Region,Agriculture,-0.03217662832919267,0.00044562015816973044
I - Ilocos Region,Logging,-0.07724078649906396,0.07108829438654608
I - Ilocos Region,Urbanization,-84.25517224446817,0.07489842078190499
I - Ilocos Region,Roads_km,-0.3878105759652892,0.07729424138307406
II - Cagayan Valley,const,1628530.8011132658,4.546639167512086e-08
II - Cagayan Valley,Agriculture,0.011942462671956386,0.707126802076947
II - Cagayan Valley,Logging,-0.18890047544750946,0.22828693804104855
II - Cagayan Valley,Urbanization,-4825.52608421208,0.025957455603591383
II - Cagayan Valley,Roads_km,-2.609648980550229,0.6658163861826082
III - Central Luzon,const,968349.7754074251,8.204026758858964e-21
III - Central Luzon,Agriculture,-0.00740943358740893,0.4790099435657893
III - Central Luzon,Logging,-0.13864173370769645,0.002611753691768471
III - Central Luzon,Urbanization,-1284.4508203594785,4.084890443024285e-06
III - Central Luzon,Roads_km,0.28760088106147635,0.6962112801453044
Region IV-A - CALABARZON,const,1295333.6798053063,4.542169077829265e-19
Region IV-A - CALABARZON,Agriculture,0.0032022973502564976,0.9627010720425525
Region IV-A - CALABARZON,Logging,-0.012478932829429574,0.7136373018244968
Region IV-A - CALABARZON,Urbanization,-1331.227752896559,0.0009676230933388592
Region IV-A - CALABARZON,Roads_km,-5.036209849505008,0.0046166578355321805
Region IV-B - MIMAROPA,const,1876041.5109198333,1.1967799946258313e-05
Region IV-B - MIMAROPA,Agriculture,-0.523417692146959,0.14488223912068185
Region IV-B - MIMAROPA,Logging,-1.9364082553355633,0.02960644102505291
Region IV-B - MIMAROPA,Urbanization,-8333.86395269136,0.003431574551030476
Region IV-B - MIMAROPA,Roads_km,12.177237810642366,0.265777496716266
V - Bicol Region,const,1220867.9980289862,2.983918881338686e-11
V - Bicol Region,Agriculture,-0.015803045621837295,0.7741737823541546
V - Bicol Region,Logging,-0.5737499674944206,0.5552308071595315
V - Bicol Region,Urbanization,-1471.706048186215,0.11278154949575694
V - Bicol Region,Roads_km,-2.7531909771768843,0.37269040502241135
VI - Western Visayas,const,816202.8339135476,2.6628661009787897e-20
VI - Western Visayas,Agriculture,0.0030594165142972317,0.6712911132967772
VI - Western Visayas,Logging,0.02874592199592138,0.005815576996059863
VI - Western Visayas,Urbanization,-2192.873237740197,2.7563089091216617e-07
VI - Western Visayas,Roads_km,0.27500975934568916,0.6750456317166769
VII - Central Visayas,const,658843.1879957654,1.392773010460767e-17
VII - Central Visayas,Agriculture,0.014518671891094636,0.13882012201695318
VII - Central Visayas,Logging,0.01720241173367662,0.38556549425533704
VII - Central Visayas,Urbanization,-965.1389792459894,2.7679108916616422e-05
VII - Central Visayas,Roads_km,-0.25479283287675514,0.7141880489480232
VIII - Eastern Visayas,const,1625280.2386020096,8.591268012911626e-07
VIII - Eastern Visayas,Agriculture,0.6363235954923895,6.914827400663869e-05
VIII - Eastern Visayas,Logging,-0.10048119059795975,0.36871627178438093
VIII - Eastern Visayas,Urbanization,-9851.72385194143,0.001991005160846216
VIII - Eastern Visayas,Roads_km,-1.1742061155463743,0.8648402935586017
