Year,Region,log_production_cbm
2000,Philippines,800087
2001,Philippines,570890
2002,Philippines,403263
2003,Philippines,505703
2004,Philippines,767668
2005,Philippines,840980
2006,Philippines,1036033
2007,Philippines,880674
2008,Philippines,815225
2009,Philippines,801520
2010,Philippines,557345
2011,Philippines,871126
2012,Philippines,862429
2013,Philippines,1165851
2014,Philippines,1102365
2015,Philippines,841880
2016,Philippines,790098
2017,Philippines,733474
2018,Philippines,884250
2019,Philippines,939102
2020,Philippines,822048
2000,NCR,0
2001,NCR,0
2002,NCR,0
2003,NCR,0
2004,NCR,0
2005,NCR,0
2006,NCR,0
2007,NCR,0
2008,NCR,0
2009,NCR,0
2010,NCR,0
2011,NCR,0
2012,NCR,0
2013,NCR,0
2014,NCR,0
2015,NCR,0
2016,NCR,0
2017,NCR,0
2018,NCR,0
2019,NCR,0
2020,NCR,0
2000,CAR,648
2001,CAR,6599
2002,CAR,10388
2003,CAR,15762
2004,CAR,21331
2005,CAR,1225
2006,CAR,17657
2007,CAR,16305
2008,CAR,19745
2009,CAR,19280
2010,CAR,16234
2011,CAR,1257
2012,CAR,786
2013,CAR,954
2014,CAR,1257
2015,CAR,1228
2016,CAR,885
2017,CAR,1439
2018,CAR,1484
2019,CAR,1202
2020,CAR,605
2000,I - Ilocos Region,2731
2001,I - Ilocos Region,2193
2002,I - Ilocos Region,1872
2003,I - Ilocos Region,2424
2004,I - Ilocos Region,1853
2005,I - Ilocos Region,2507
2006,I - Ilocos Region,1469
2007,I - Ilocos Region,2177
2008,I - Ilocos Region,1693
2009,I - Ilocos Region,859
2010,I - Ilocos Region,1557
2011,I - Ilocos Region,5538
2012,I - Ilocos Region,6664
2013,I - Ilocos Region,3105
2014,I - Ilocos Region,2157
2015,I - Ilocos Region,2094
2016,I - Ilocos Region,1655
2017,I - Ilocos Region,4106
2018,I - Ilocos Region,8307
2019,I - Ilocos Region,7869
2020,I - Ilocos Region,8345
2000,II - Cagayan Valley,17472
2001,II - Cagayan Valley,14061
2002,II - Cagayan Valley,18797
2003,II - Cagayan Valley,17942
2004,II - Cagayan Valley,12331
2005,II - Cagayan Valley,2439
2006,II - Cagayan Valley,20296
2007,II - Cagayan Valley,24703
2008,II - Cagayan Valley,20960
2009,II - Cagayan Valley,28730
2010,II - Cagayan Valley,45965
2011,II - Cagayan Valley,21521
2012,II - Cagayan Valley,7456
2013,II - Cagayan Valley,2077
2014,II - Cagayan Valley,2480
2015,II - Cagayan Valley,1113
2016,II - Cagayan Valley,740
2017,II - Cagayan Valley,333
2018,II - Cagayan Valley,2253
2019,II - Cagayan Valley,1458
2020,II - Cagayan Valley,738
2000,III - Central Luzon,420
2001,III - Central Luzon,293
2002,III - Central Luzon,152
2003,III - Central Luzon,10171
2004,III - Central Luzon,8384
2005,III - Central Luzon,1982
2006,III - Central Luzon,13881
2007,III - Central Luzon,9421
2008,III - Central Luzon,15553
2009,III - Central Luzon,15179
2010,III - Central Luzon,33108
2011,III - Central Luzon,11717
2012,III - Central Luzon,8568
2013,III - Central Luzon,4529
2014,III - Central Luzon,4676
2015,III - Central Luzon,2813
2016,III - Central Luzon,2816
2017,III - Central Luzon,1669
2018,III - Central Luzon,1984
2019,III - Central Luzon,2089
2020,III - Central Luzon,1621
2000,Region IV-A - CALABARZON,817
2001,Region IV-A - CALABARZON,817
2002,Region IV-A - CALABARZON,817
2003,Region IV-A - CALABARZON,467
2004,Region IV-A - CALABARZON,718
2005,Region IV-A - CALABARZON,504
2006,Region IV-A - CALABARZON,3776
2007,Region IV-A - CALABARZON,2541
2008,Region IV-A - CALABARZON,4044
2009,Region IV-A - CALABARZON,9907
2010,Region IV-A - CALABARZON,8158
2011,Region IV-A - CALABARZON,13260
2012,Region IV-A - CALABARZON,4656
2013,Region IV-A - CALABARZON,4879
2014,Region IV-A - CALABARZON,5979
2015,Region IV-A - CALABARZON,36260
2016,Region IV-A - CALABARZON,17598
2017,Region IV-A - CALABARZON,8091
2018,Region IV-A - CALABARZON,71167
2019,Region IV-A - CALABARZON,33893
2020,Region IV-A - CALABARZON,10656
2000,Region IV-B - MIMAROPA,402
2001,Region IV-B - MIMAROPA,402
2002,Region IV-B - MIMAROPA,402
2003,Region IV-B - MIMAROPA,140
2004,Region IV-B - MIMAROPA,414
2005,Region IV-B - MIMAROPA,99
2006,Region IV-B - MIMAROPA,568
2007,Region IV-B - MIMAROPA,31
2008,Region IV-B - MIMAROPA,120
2009,Region IV-B - MIMAROPA,1594
2010,Region IV-B - MIMAROPA,1235
